Metric,SG_max,WCG,SG_mean
AUROC Joint,0.6648841557643216,0.5206563490817768,0.6648841557643216
Max F1 Joint,0.43073593073593075,0.3144654088050315,0.43073593073593075
Acc Joint,0.8236,0.934,0.8236
SHD Joint,0.8212290502793296,0.8608695652173913,0.8212290502793296
Max F1 th Joint,0.06225562519239268,0.08213946017327045,0.06225562519239268
Acc th Joint,0.09298748248095252,0.13666864187449806,0.09298748248095252
SHD th Joint,0.09298748248095252,0.13666864187449806,0.09298748248095252
Null AUROC Joint,0.5,0.5,0.5
NULL F1 Joint,0.35363845900559765,0.14241486068111453,0.35363845900559765
NULL ACC Joint,0.7852,0.9233333333333333,0.7852
NULL SHD Joint,1.0,1.0,1.0
F1_FPR Joint,0.09577177789098319,0.013718411552346571,0.09577177789098319
F1_TPR Joint,0.3687150837988827,0.21565217391304348,0.3687150837988827
F1_TNR Joint,0.9042282221090168,0.9862815884476535,0.9042282221090168
F1_FNR Joint,0.6312849162011173,0.7843478260869565,0.6312849162011173
F1_PREC Joint,0.5129533678756477,0.5662100456621004,0.5129533678756477
F1_REC Joint,0.3687150837988827,0.21565217391304348,0.3687150837988827
ACC_FPR Joint,0.019867549668874173,0.001588447653429603,0.019867549668874173
ACC_TPR Joint,0.25139664804469275,0.1582608695652174,0.25139664804469275
ACC_TNR Joint,0.9801324503311258,0.9984115523465704,0.9801324503311258
ACC_FNR Joint,0.7486033519553073,0.8417391304347827,0.7486033519553073
ACC_PREC Joint,0.7758620689655172,0.8921568627450981,0.7758620689655172
ACC_REC Joint,0.25139664804469275,0.1582608695652174,0.25139664804469275
SHD_FPR Joint,0.019867549668874173,0.001588447653429603,0.019867549668874173
SHD_TPR Joint,0.25139664804469275,0.1582608695652174,0.25139664804469275
SHD_TNR Joint,0.9801324503311258,0.9984115523465704,0.9801324503311258
SHD_FNR Joint,0.7486033519553073,0.8417391304347827,0.7486033519553073
SHD_PREC Joint,0.7758620689655172,0.8921568627450981,0.7758620689655172
SHD_REC Joint,0.25139664804469275,0.1582608695652174,0.25139664804469275
AUROC individual,0.6518391756300865,0.5202505054521093,0.6518391756300865
Max F1 individual,0.5661700044577921,0.3737060421602767,0.5661700044577921
Acc individual,0.85,0.9392,0.85
SHD individual,0.7009661172161169,0.789293498168498,0.7009661172161169
Max F1 th individual,0.07753553337012875,0.11393471790361649,0.07753553337012875
Acc th individual,0.07436096764276905,0.08881715053122045,0.07436096764276905
SHD th individual,0.07436096764276905,0.08881715053122045,0.07436096764276905
Null AUROC individual,0.5,0.5,0.5
NULL F1 individual,0.34353906412285484,0.1405186278249888,0.34353906412285484
NULL ACC individual,0.7852000000000002,0.9233333333333335,0.7852000000000002
NULL SHD individual,1.0,1.0,1.0
F1_FPR individual,0.21463912639461152,0.07344586301742988,0.21463912639461152
F1_TPR individual,0.34624847374847384,0.09572695360195363,0.34624847374847384
F1_TNR individual,0.7853608736053883,0.9265541369825704,0.7853608736053883
F1_FNR individual,0.6537515262515262,0.9042730463980461,0.6537515262515262
F1_PREC individual,0.38235000163833116,0.3145,0.38235000163833116
F1_REC individual,0.34624847374847384,0.09572695360195363,0.34624847374847384
ACC_FPR individual,0.033942708263528694,0.0020693520075318285,0.033942708263528694
ACC_TPR individual,0.38152167277167265,0.2323791208791208,0.38152167277167265
ACC_TNR individual,0.966057291736471,0.9979306479924681,0.966057291736471
ACC_FNR individual,0.6184783272283273,0.7676208791208791,0.6184783272283273
ACC_PREC individual,0.7336793454223794,0.6815000000000001,0.7336793454223794
ACC_REC individual,0.38152167277167265,0.2323791208791208,0.38152167277167265
SHD_FPR individual,0.033942708263528694,0.0020693520075318285,0.033942708263528694
SHD_TPR individual,0.38152167277167265,0.2323791208791208,0.38152167277167265
SHD_TNR individual,0.966057291736471,0.9979306479924681,0.966057291736471
SHD_FNR individual,0.6184783272283273,0.7676208791208791,0.6184783272283273
SHD_PREC individual,0.7336793454223794,0.6815000000000001,0.7336793454223794
SHD_REC individual,0.38152167277167265,0.2323791208791208,0.38152167277167265
runtime,0 days 00:00:01.498140,0 days 00:00:01.498140,0 days 00:00:01.498140
path,data_release/coef_n_small/17_2025-12-02_19-46-10-791633,data_release/coef_n_small/17_2025-12-02_19-46-10-791633,data_release/coef_n_small/17_2025-12-02_19-46-10-791633
